load_id,customer_id,route_id,load_date,load_status
LOAD00000001,CUST00183,RTE00019,2022-01-01,Completed
LOAD00000002,CUST00076,RTE00058,2022-01-01,Completed
LOAD00000003,CUST00027,RTE00048,2022-01-01,Completed
LOAD00000004,CUST00088,RTE00013,2022-01-01,Completed
LOAD00000005,CUST00185,RTE00020,2022-01-01,Completed
LOAD00000006,CUST00193,RTE00004,2022-01-01,Completed
LOAD00000007,CUST00169,RTE00038,2022-01-01,Completed
LOAD00000008,CUST00049,RTE00016,2022-01-01,Completed
LOAD00000009,CUST00075,RTE00025,2022-01-01,Completed
LOAD00000010,CUST00079,RTE00025,2022-01-01,Completed
LOAD00000011,CUST00127,RTE00058,2022-01-01,Completed
LOAD00000012,CUST00052,RTE00052,2022-01-01,Completed
LOAD00000013,CUST00168,RTE00002,2022-01-01,Completed
LOAD00000014,CUST00049,RTE00032,2022-01-01,Completed
LOAD00000015,CUST00089,RTE00006,2022-01-01,Completed
LOAD00000016,CUST00032,RTE00015,2022-01-01,Completed
LOAD00000017,CUST00022,RTE00054,2022-01-01,Completed
LOAD00000018,CUST00093,RTE00038,2022-01-01,Completed
LOAD00000019,CUST00092,RTE00012,2022-01-01,Completed
LOAD00000020,CUST00029,RTE00001,2022-01-01,Completed
LOAD00000021,CUST00047,RTE00042,2022-01-01,Completed
LOAD00000022,CUST00018,RTE00009,2022-01-01,Completed
LOAD00000023,CUST00007,RTE00048,2022-01-01,Completed
LOAD00000024,CUST00041,RTE00035,2022-01-01,Completed
LOAD00000025,CUST00036,RTE00034,2022-01-01,Completed
LOAD00000026,CUST00033,RTE00022,2022-01-01,Completed
LOAD00000027,CUST00065,RTE00058,2022-01-01,Completed
LOAD00000028,CUST00073,RTE00004,2022-01-01,Completed
LOAD00000029,CUST00055,RTE00026,2022-01-01,Completed
LOAD00000030,CUST00136,RTE00010,2022-01-01,Completed
LOAD00000031,CUST00135,RTE00042,2022-01-01,Completed
LOAD00000032,CUST00076,RTE00006,2022-01-01,Completed
LOAD00000033,CUST00029,RTE00033,2022-01-01,Completed
LOAD00000034,CUST00079,RTE00034,2022-01-01,Completed
LOAD00000035,CUST00016,RTE00026,2022-01-01,Completed
LOAD00000036,CUST00081,RTE00020,2022-01-01,Completed
LOAD00000037,CUST00102,RTE00055,2022-01-01,Completed
LOAD00000038,CUST00119,RTE00022,2022-01-01,Completed
LOAD00000039,CUST00044,RTE00025,2022-01-01,Completed
LOAD00000040,CUST00114,RTE00016,2022-01-01,Completed
LOAD00000041,CUST00017,RTE00007,2022-01-01,Completed
LOAD00000042,CUST00027,RTE00033,2022-01-01,Completed
LOAD00000043,CUST00185,RTE00042,2022-01-01,Completed
LOAD00000044,CUST00190,RTE00056,2022-01-01,Completed
LOAD00000045,CUST00060,RTE00031,2022-01-01,Completed
LOAD00000046,CUST00038,RTE00033,2022-01-01,Completed
LOAD00000047,CUST00109,RTE00020,2022-01-01,Completed
LOAD00000048,CUST00185,RTE00053,2022-01-01,Completed
LOAD00000049,CUST00003,RTE00041,2022-01-01,Completed
LOAD00000050,CUST00137,RTE00036,2022-01-01,Completed
LOAD00000051,CUST00114,RTE00053,2022-01-01,Completed
LOAD00000052,CUST00065,RTE00043,2022-01-01,Completed
LOAD00000053,CUST00039,RTE00053,2022-01-01,Completed
LOAD00000054,CUST00101,RTE00045,2022-01-01,Completed
LOAD00000055,CUST00030,RTE00042,2022-01-01,Completed
LOAD00000056,CUST00115,RTE00035,2022-01-01,Completed
LOAD00000057,CUST00018,RTE00051,2022-01-01,Completed
LOAD00000058,CUST00181,RTE00008,2022-01-01,Completed
LOAD00000059,CUST00156,RTE00056,2022-01-01,Completed
LOAD00000060,CUST00169,RTE00031,2022-01-01,Completed
LOAD00000061,CUST00028,RTE00038,2022-01-01,Completed
LOAD00000062,CUST00071,RTE00012,2022-01-01,Completed
LOAD00000063,CUST00170,RTE00008,2022-01-01,Completed
LOAD00000064,CUST00070,RTE00030,2022-01-01,Completed
LOAD00000065,CUST00084,RTE00022,2022-01-01,Completed
LOAD00000066,CUST00169,RTE00039,2022-01-01,Completed
LOAD00000067,CUST00137,RTE00046,2022-01-01,Completed
LOAD00000068,CUST00022,RTE00023,2022-01-01,Completed
LOAD00000069,CUST00095,RTE00026,2022-01-01,Completed
LOAD00000070,CUST00091,RTE00013,2022-01-01,Completed
LOAD00000071,CUST00036,RTE00006,2022-01-01,Completed
LOAD00000072,CUST00166,RTE00037,2022-01-02,Completed
LOAD00000073,CUST00038,RTE00032,2022-01-02,Completed
LOAD00000074,CUST00139,RTE00016,2022-01-02,Completed
LOAD00000075,CUST00070,RTE00028,2022-01-02,Completed
LOAD00000076,CUST00177,RTE00050,2022-01-02,Completed
