customer_id,customer_name,customer_phone_number
CUST00050,Global Manufacturing,2614217395
CUST00183,Pacific Foods,3118038671
CUST00007,Superior Distribution,1028933855
CUST00177,First Logistics,1313395121
CUST00004,American Corp,9732414380
CUST00154,XYZ Distribution,7244969522
CUST00016,United Industries,6879705739
CUST00008,American Logistics,9052960344
CUST00116,Premier Logistics,1541726519
CUST00109,Global Manufacturing,1276522768
CUST00158,United Retail,3116704392
CUST00100,ABC Foods,4019622912
CUST00035,United Distribution,6474662869
CUST00049,Continental Corp,2217453202
CUST00153,Superior Group,5285118133
CUST00010,National Logistics,7307498035
CUST00065,United Retail,8166878009
CUST00015,First Group,4067670944
CUST00114,Premier Manufacturing,5142554675
CUST00052,Metro Corp,9072869554
CUST00180,ABC Distribution,7868238301
CUST00126,First Retail,1557926750
CUST00070,First Group,3997465617
CUST00172,National Industries,9524780010
CUST00184,Elite Distribution,3782867057
CUST00098,National Supply Chain,1537955146
CUST00165,Continental Supply Chain,3096670078
CUST00028,First Group,5863069960
CUST00069,Continental Manufacturing,8703700199
CUST00006,American Industries,9763795732
CUST00108,Global Distribution,8274109237
CUST00179,XYZ Corp,4075059332
CUST00040,ABC Corp,9209152365
CUST00095,First Foods,3647875299
CUST00191,Pacific Group,7537802710
CUST00042,American Corp,4466686671
CUST00166,ABC Distribution,7631752272
CUST00111,XYZ Wholesale,1096458067
CUST00186,National Wholesale,6887860910
CUST00122,Metro Foods,1644248796
