delivery_id,order_id,truck_id,delivery_date
DLV00080704,ORD00080704,TRK00048,2024-11-01
DLV00080723,ORD00080723,TRK00116,2024-11-01
DLV00080725,ORD00080725,TRK00041,2024-11-01
DLV00080728,ORD00080728,TRK00106,2024-11-01
DLV00080750,ORD00080750,TRK00006,2024-11-01
DLV00080766,ORD00080766,TRK00112,2024-11-01
DLV00080785,ORD00080785,TRK00054,2024-11-02
DLV00080848,ORD00080848,TRK00083,2024-11-02
DLV00080864,ORD00080864,TRK00069,2024-11-03
DLV00080874,ORD00080874,TRK00110,2024-11-03
DLV00080904,ORD00080904,TRK00116,2024-11-03
DLV00080919,ORD00080919,TRK00013,2024-11-03
DLV00080926,ORD00080926,TRK00049,2024-11-03
DLV00080931,ORD00080931,TRK00011,2024-11-04
DLV00080939,ORD00080939,TRK00112,2024-11-04
DLV00080957,ORD00080957,TRK00031,2024-11-04
DLV00081000,ORD00081000,TRK00012,2024-11-04
DLV00081001,ORD00081001,TRK00064,2024-11-04
DLV00081032,ORD00081032,TRK00013,2024-11-05
DLV00081040,ORD00081040,TRK00069,2024-11-05
DLV00081044,ORD00081044,TRK00110,2024-11-05
DLV00081045,ORD00081045,TRK00014,2024-11-05
DLV00081047,ORD00081047,TRK00101,2024-11-05
DLV00081082,ORD00081082,TRK00015,2024-11-05
DLV00081086,ORD00081086,TRK00011,2024-11-05
DLV00081091,ORD00081091,TRK00051,2024-11-05
DLV00081104,ORD00081104,TRK00107,2024-11-05
DLV00081106,ORD00081106,TRK00113,2024-11-05
DLV00081107,ORD00081107,TRK00014,2024-11-05
DLV00081117,ORD00081117,TRK00076,2024-11-06
DLV00081118,ORD00081118,TRK00038,2024-11-06
DLV00081123,ORD00081123,TRK00113,2024-11-06
DLV00081126,ORD00081126,TRK00106,2024-11-06
DLV00081149,ORD00081149,TRK00116,2024-11-06
DLV00081166,ORD00081166,TRK00079,2024-11-06
DLV00081195,ORD00081195,TRK00113,2024-11-07
DLV00081219,ORD00081219,TRK00079,2024-11-07
DLV00081224,ORD00081224,TRK00031,2024-11-07
DLV00081234,ORD00081234,TRK00092,2024-11-07
DLV00081296,ORD00081296,TRK00050,2024-11-08
DLV00081316,ORD00081316,TRK00110,2024-11-08
DLV00081323,ORD00081323,TRK00085,2024-11-08
DLV00081326,ORD00081326,TRK00048,2024-11-08
DLV00081348,ORD00081348,TRK00076,2024-11-09
DLV00081356,ORD00081356,TRK00031,2024-11-09
DLV00081377,ORD00081377,TRK00011,2024-11-09
DLV00081379,ORD00081379,TRK00085,2024-11-09
DLV00081381,ORD00081381,TRK00107,2024-11-09
DLV00081387,ORD00081387,TRK00044,2024-11-09
DLV00081389,ORD00081389,TRK00113,2024-11-09
DLV00081393,ORD00081393,TRK00048,2024-11-09
