expense_id,delivery_id,expense_type,expense_date,amount
FUEL00000069,DLV00081047,Fuel,2024-11-06,391.19
FUEL00000624,DLV00081447,Fuel,2024-11-12,221.27
FUEL00000680,DLV00083638,Fuel,2024-12-08,401.9
FUEL00000835,DLV00082208,Fuel,2024-11-20,600.19
FUEL00000845,DLV00083959,Fuel,2024-12-14,371.81
FUEL00000948,DLV00084407,Fuel,2024-12-18,434.22
FUEL00002186,DLV00082614,Fuel,2024-11-25,599.21
FUEL00002324,DLV00082043,Fuel,2024-11-17,620.09
FUEL00002352,DLV00081848,Fuel,2024-11-16,512.08
FUEL00002492,DLV00081040,Fuel,2024-11-07,649.8
FUEL00002673,DLV00081699,Fuel,2024-11-14,439.36
FUEL00003416,DLV00083616,Fuel,2024-12-09,551.88
FUEL00003518,DLV00082070,Fuel,2024-11-20,674.91
FUEL00004020,DLV00081323,Fuel,2024-11-10,664.21
FUEL00004525,DLV00083368,Fuel,2024-12-05,376.26
FUEL00004906,DLV00084407,Fuel,2024-12-19,476.12
FUEL00004975,DLV00083272,Fuel,2024-12-04,686.09
FUEL00005356,DLV00083829,Fuel,2024-12-10,487.69
FUEL00005822,DLV00082578,Fuel,2024-11-25,614.58
FUEL00005918,DLV00083793,Fuel,2024-12-12,272.41
FUEL00006610,DLV00081393,Fuel,2024-11-10,460.64
FUEL00006615,DLV00082934,Fuel,2024-11-30,467.67
FUEL00006853,DLV00081126,Fuel,2024-11-06,344.44
FUEL00007196,DLV00081001,Fuel,2024-11-05,393.02
FUEL00007365,DLV00084766,Fuel,2024-12-23,791.44
FUEL00007548,DLV00083638,Fuel,2024-12-09,363.22
FUEL00007593,DLV00082476,Fuel,2024-11-25,721.54
FUEL00007674,DLV00083869,Fuel,2024-12-12,563.31
FUEL00007879,DLV00084849,Fuel,2024-12-25,414.73
FUEL00007981,DLV00081394,Fuel,2024-11-11,595.16
FUEL00008776,DLV00081483,Fuel,2024-11-10,235.85
FUEL00008813,DLV00083040,Fuel,2024-12-02,176.53
FUEL00008971,DLV00083208,Fuel,2024-12-04,484.79
FUEL00009088,DLV00080766,Fuel,2024-11-03,341.29
FUEL00009232,DLV00083959,Fuel,2024-12-12,166.14
FUEL00009589,DLV00081576,Fuel,2024-11-12,441.39
FUEL00009685,DLV00082386,Fuel,2024-11-22,659.36
FUEL00009942,DLV00081000,Fuel,2024-11-04,756.15
FUEL00010196,DLV00085309,Fuel,2024-12-30,558.81
FUEL00010226,DLV00083666,Fuel,2024-12-08,485.88
FUEL00010294,DLV00085273,Fuel,2024-12-30,392.36
FUEL00010407,DLV00081735,Fuel,2024-11-14,245.51
FUEL00010751,DLV00082012,Fuel,2024-11-17,673.41
FUEL00011129,DLV00085293,Fuel,2024-12-31,371.19
FUEL00011309,DLV00080750,Fuel,2024-11-02,710.94
FUEL00011648,DLV00081086,Fuel,2024-11-05,208.5
FUEL00011893,DLV00083638,Fuel,2024-12-10,305.93
FUEL00013433,DLV00084892,Fuel,2024-12-25,328.4
FUEL00013714,DLV00082526,Fuel,2024-11-25,526.79
FUEL00014331,DLV00082916,Fuel,2024-12-01,613.73
FUEL00014508,DLV00081045,Fuel,2024-11-07,609.57
FUEL00014644,DLV00084841,Fuel,2024-12-25,260.79
FUEL00014791,DLV00083666,Fuel,2024-12-08,735.45
FUEL00015081,DLV00081566,Fuel,2024-11-11,452.75
FUEL00015255,DLV00083404,Fuel,2024-12-06,299.95
FUEL00016183,DLV00081000,Fuel,2024-11-04,240.24
FUEL00016724,DLV00081834,Fuel,2024-11-16,728.6
FUEL00017153,DLV00083215,Fuel,2024-12-03,538.86
FUEL00017208,DLV00081091,Fuel,2024-11-06,257.58
FUEL00017554,DLV00083272,Fuel,2024-12-03,285.52
FUEL00018118,DLV00085108,Fuel,2024-12-29,358.68
FUEL00018847,DLV00081699,Fuel,2024-11-13,341.64
FUEL00019048,DLV00083329,Fuel,2024-12-06,505.28
FUEL00019537,DLV00081462,Fuel,2024-11-11,763.03
FUEL00019798,DLV00083894,Fuel,2024-12-13,271.97
FUEL00020092,DLV00081126,Fuel,2024-11-08,585.03
FUEL00020301,DLV00081447,Fuel,2024-11-11,224.92
FUEL00020474,DLV00083748,Fuel,2024-12-11,578.37
FUEL00020593,DLV00085283,Fuel,2024-12-30,462.26
FUEL00020715,DLV00084801,Fuel,2024-12-23,293.97
FUEL00020932,DLV00081118,Fuel,2024-11-06,367.3
FUEL00020960,DLV00081348,Fuel,2024-11-09,716.83
FUEL00021135,DLV00084714,Fuel,2024-12-23,446.46
FUEL00021255,DLV00082211,Fuel,2024-11-21,515.2
FUEL00021856,DLV00084282,Fuel,2024-12-18,529.87
FUEL00021999,DLV00083816,Fuel,2024-12-10,263.76
FUEL00022131,DLV00080728,Fuel,2024-11-02,644.7
FUEL00022242,DLV00082100,Fuel,2024-11-20,511.87
FUEL00022439,DLV00085291,Fuel,2024-12-30,645.64
FUEL00023100,DLV00084801,Fuel,2024-12-23,537.55
FUEL00023301,DLV00081381,Fuel,2024-11-11,237.37
FUEL00023723,DLV00081040,Fuel,2024-11-06,731.34
FUEL00024050,DLV00083317,Fuel,2024-12-04,200.43
