order_id,customer_id,order_date,order_status,origin_city,destination_city
ORD00080703,CUST00165,2024-11-01,Completed,Phoenix,Kansas City
ORD00080704,CUST00114,2024-11-01,Completed,Chicago,Los Angeles
ORD00080705,CUST00028,2024-11-01,Completed,Atlanta,Miami
ORD00080711,CUST00153,2024-11-01,Completed,Dallas,New York
ORD00080712,CUST00098,2024-11-01,Completed,Philadelphia,Seattle
ORD00080715,CUST00114,2024-11-01,Completed,Phoenix,Denver
ORD00080720,CUST00154,2024-11-01,Completed,Las Vegas,New York
ORD00080723,CUST00100,2024-11-01,Completed,Portland,Seattle
ORD00080724,CUST00035,2024-11-01,Completed,Atlanta,Chicago
ORD00080725,CUST00126,2024-11-01,Completed,Dallas,Denver
ORD00080728,CUST00028,2024-11-01,Completed,Kansas City,Charlotte
ORD00080729,CUST00028,2024-11-01,Completed,Las Vegas,Kansas City
ORD00080747,CUST00010,2024-11-01,Completed,Columbus,Los Angeles
ORD00080748,CUST00191,2024-11-01,Completed,Las Vegas,Dallas
ORD00080750,CUST00004,2024-11-01,Completed,Chicago,Charlotte
ORD00080751,CUST00006,2024-11-01,Completed,Seattle,Indianapolis
ORD00080766,CUST00177,2024-11-01,Completed,Dallas,Denver
ORD00080767,CUST00154,2024-11-01,Completed,Chicago,Los Angeles
ORD00080772,CUST00183,2024-11-01,Completed,Minneapolis,Los Angeles
ORD00080779,CUST00154,2024-11-02,Completed,Chicago,Charlotte
ORD00080785,CUST00158,2024-11-02,Completed,Seattle,Charlotte
ORD00080792,CUST00028,2024-11-02,Completed,New York,Columbus
ORD00080795,CUST00179,2024-11-02,Completed,Phoenix,Philadelphia
ORD00080811,CUST00052,2024-11-02,Completed,Detroit,Houston
ORD00080814,CUST00100,2024-11-02,Completed,Kansas City,Portland
ORD00080831,CUST00114,2024-11-02,Completed,Seattle,Indianapolis
ORD00080848,CUST00007,2024-11-02,Completed,Miami,Seattle
ORD00080852,CUST00111,2024-11-02,Completed,Detroit,Houston
ORD00080853,CUST00153,2024-11-02,Completed,Charlotte,Portland
ORD00080856,CUST00108,2024-11-02,Completed,Portland,Columbus
ORD00080858,CUST00166,2024-11-03,Completed,Kansas City,Atlanta
ORD00080864,CUST00154,2024-11-03,Completed,Miami,Philadelphia
ORD00080874,CUST00095,2024-11-03,Completed,Dallas,New York
ORD00080878,CUST00180,2024-11-03,Completed,Miami,Philadelphia
ORD00080889,CUST00114,2024-11-03,Completed,New York,Philadelphia
ORD00080892,CUST00016,2024-11-03,Completed,Houston,Detroit
ORD00080897,CUST00042,2024-11-03,Completed,Dallas,Denver
ORD00080904,CUST00180,2024-11-03,Completed,Seattle,Houston
ORD00080909,CUST00158,2024-11-03,Completed,Dallas,Denver
ORD00080918,CUST00065,2024-11-03,Completed,Portland,Detroit
ORD00080919,CUST00172,2024-11-03,Completed,Dallas,Indianapolis
ORD00080926,CUST00186,2024-11-03,Completed,Chicago,Los Angeles
ORD00080927,CUST00126,2024-11-03,Completed,Portland,Seattle
ORD00080929,CUST00004,2024-11-03,Completed,Miami,Philadelphia
ORD00080931,CUST00126,2024-11-04,Completed,Houston,Memphis
ORD00080933,CUST00040,2024-11-04,Completed,Seattle,Houston
ORD00080939,CUST00126,2024-11-04,Completed,Memphis,Los Angeles
ORD00080951,CUST00006,2024-11-04,Completed,Columbus,Kansas City
ORD00080954,CUST00010,2024-11-04,Completed,Dallas,New York
ORD00080956,CUST00184,2024-11-04,Completed,Seattle,Charlotte
ORD00080957,CUST00050,2024-11-04,Completed,Houston,Seattle
ORD00080980,CUST00191,2024-11-04,Completed,Houston,Detroit
ORD00081000,CUST00116,2024-11-04,Completed,Chicago,Portland
ORD00081001,CUST00179,2024-11-04,Completed,Houston,Seattle
ORD00081006,CUST00100,2024-11-04,Completed,Las Vegas,Dallas
