truck_id,make,vin
TRK00064,Kenworth,1VU745675841954861
TRK00092,Volvo,1FT258316710836362
TRK00087,Peterbilt,1NV829905893174057
TRK00031,Kenworth,1FU607053119824892
TRK00107,Mack,1FV694670205670221
TRK00038,International,1MV267690370888657
TRK00049,Peterbilt,1NT223732426577573
TRK00051,Mack,1MT877433803899130
TRK00011,Freightliner,1FT567947164925037
TRK00062,Mack,1NV650570590608475
TRK00079,Mack,1NV914157173264203
TRK00099,Freightliner,1MU556456925295542
TRK00003,Peterbilt,1NT803101860493229
TRK00113,Mack,1MT674631830199518
TRK00112,Volvo,1MT331261140931634
TRK00005,Freightliner,1FT822215709701985
TRK00048,Volvo,1MT866431853044978
TRK00085,Kenworth,1MT667695252589838
TRK00069,Mack,1NV883821060467126
TRK00094,Freightliner,1FU365172928294515
TRK00021,Mack,1MV661551799038494
TRK00041,International,1VV671184850440720
TRK00116,International,1MV446968103715126
TRK00083,Kenworth,1FT739466077384341
TRK00012,Freightliner,1MU483021764762154
TRK00034,Freightliner,1MU728063113988930
TRK00044,Volvo,1FU446413094240484
TRK00015,International,1VV219552826957760
TRK00006,Kenworth,1VV963516965177788
TRK00110,Peterbilt,1NV268717210259310
TRK00050,Peterbilt,1NT453185644930902
TRK00106,Volvo,1NT949762201559873
TRK00014,International,1VV247228896414388
TRK00109,Volvo,1FT716597654505822
TRK00076,Kenworth,1NU637560149881760
TRK00055,Peterbilt,1VV691633799611733
TRK00054,Freightliner,1NV731502816958608
TRK00013,Volvo,1NU908806171429154
TRK00081,Freightliner,1FU657752132291004
TRK00101,Peterbilt,1VU348655476430824
